,店名,ジャンル,住所,電話番号,予算目安(下代),予算目安(上代),定休日,営業時間,店のリンク,最寄駅
10,"

焼肉 牛吉 新宿店

","
焼肉、ホルモン、居酒屋
","
東京都新宿区歌舞伎町1-13-9 歌舞伎町ビル 1F






","

050-5890-7558

","￥3,000","￥3,999","
無し
","

月〜金　17:00~27:00 OL 26:30土・日・祝13:00〜28:00  OL  27:00
",https://tabelog.com/tokyo/A1304/A130401/13270641/,西武新宿駅
11,"

古城の国のアリス

","
イタリアン、ダイニングバー、カフェ
","
東京都豊島区南池袋2-16-8 鈴和ビル B1F






","

050-5890-1527

","￥3,000","￥3,999","
月曜（月曜が祝日の場合は翌日が","

ランチ[火～金］　12:00～14:30[土・日・祝]　12:30～14:30ディナー[火～金］ 17:00～22:00[土・日・祝]  16:00～22:00※ラストオーダー：ランチ 14:00／ディナー21:00
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13018945/,池袋駅
12,"

焼き鳥ダイニング一翠

","
焼き鳥、おでん、居酒屋
","
東京都豊島区東池袋1-1-10 新新園ビル　Ｂ１Ｆ






","

050-5597-2137

","￥3,000","￥3,999","(平日)　16時～23時　(LO:22時15分)(土日祝)　12時～23時　(LO:22時15分)
日曜営業
","

毎週火曜日",https://tabelog.com/tokyo/A1305/A130501/13022756/,池袋駅
13,"

深川三久本店（ふかがわさんきゅうほんてん）
            
","
お好み焼き、もんじゃ焼き、居酒屋
","
東京都江東区富岡1-8-2 天孝ビル　２Ｆ






","

050-5872-2856

","￥2,000","￥2,999","：月　　年末29日迄年始は元旦〜営業12:00〜三ヶ日はお昼から営業しております。4日以降の営業時間等は、店舗にてお問合せください。
日曜営業
","

▼通常・火～土17:00～24:00(L.O.23:30)・日祝　17:00～23:00(L.O.22:00)テイクアウト：17:00～22:00",https://tabelog.com/tokyo/A1313/A131303/13029383/,門前仲町駅
14,"

本格タイ料理バル プアン 渋谷店（Puan）
            
","
タイ料理、居酒屋、バル
","
東京都渋谷区道玄坂1-5-9 ザ・レンガビル 2F






","

050-5597-2106

","￥3,000","￥3,999","
年末年始のみ
","

11:30～15:00(L.O.14:30)17:00～23:15(L.O.food/22:30・drink/22:45)
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13232848/,渋谷駅
15,"

沖縄居酒屋 パラダヰス 大門・浜松町（パラダイス）
            
","
居酒屋、沖縄料理、おでん
","
東京都港区芝大門2-8-14 古口ビル 2F 3F






","

050-5593-9535

","￥3,000","￥3,999","
日曜・祝日　
","

[月～金]ランチ　　11:30〜14:00ディナー　17:00～23:00[土曜]ディナー　17:00～23:00
",https://tabelog.com/tokyo/A1314/A131401/13052562/,大門駅
16,"

299円均一個室居酒屋 九十九 新宿本店（つくも）
            
","
居酒屋、焼き鳥、海鮮
","
東京都新宿区歌舞伎町1-18-8 第一モナミビル 7F






","

090-2935-4862

","￥2,000","￥2,999","
年中無休
","

[日～木曜日・祝日]　１５：００〜２４：００[金・土曜日・祝前日]１５：００〜翌５：００時間外のご宴会もお気軽にご相談ください！
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13200161/,西武新宿駅
17,"

いい乃じ

","
居酒屋、鍋、すき焼き
","
東京都中央区日本橋室町3-2-1 コレド室町テラス 1F






","

050-5597-7819

","￥5,000","￥5,999","
不定休　※施設の休館日に則ります
","

[月～金]11:00～15:00・17:00～22:00[土・日・祝]11:00～15:00・17:00～21:00※状況によりを変更する場合がございます。
日曜営業
",https://tabelog.com/tokyo/A1302/A130202/13238090/,新日本橋駅
18,"

ピッツェリア ロマーナ ジャニコロ（Pizzeria Romana Gianicolo）
            
","



ピザ 百名店 2021 選出店




食べログ ピザ 百名店 2021 選出店






ピザ 百名店 2019 選出店




食べログ ピザ 百名店 2019 選出店






ピザ 百名店 2018 選出店




食べログ ピザ 百名店 2018 選出店






ピザ 百名店 2017 選出店




食べログ ピザ 百名店 2017 選出店



","
予約可
","
ピザ、イタリアン、パスタ
",,,,"
東京メトロ南北線　麻布十番駅　4番出口　徒歩3分都営大江戸線　麻布十番駅　7番出口　徒歩3分
麻布十番駅から165m
",https://tabelog.com/tokyo/A1307/A130702/13122753/,麻布十番駅
19,"

焼肉 ごく

","
焼肉、ホルモン、居酒屋
","
東京都新宿区新宿3-8-2 クロスビル 103






","

050-5872-4786

","￥6,000","￥7,999","
無
","

17:00〜23:00（L.O 22:30）
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13255556/,新宿三丁目駅
20,"

鮨 みやこ

","
寿司、日本料理、海鮮
","
東京都新宿区西新宿6-6-2 ヒルトン東京新築国際ビル B1F






","

050-5589-0254

","￥15,000","￥19,999","
なし
","

【月〜金】15:00～22:00（LO21:00）【土】16:00～22:00（LO21:00）【日、祝日】12:00〜19:00（LO18:00）
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13270476/,西新宿駅
21,"

完全個室居酒屋 あばれ鮮魚 新橋店

","
居酒屋、ダイニングバー、海鮮
","
東京都港区新橋2-15-9 S-PLAZA弥生Ⅱビル 6F






","

050-5305-9665

","￥3,000","￥3,999","
なし
","

12:00〜24:00
日曜営業
",https://tabelog.com/tokyo/A1301/A130103/13267762/,新橋駅
22,"

くさかべ 永代店

","
もんじゃ焼き、お好み焼き、居酒屋
","
東京都江東区永代2丁目17-10 






","

050-5597-3580

","￥2,000","￥2,999","
日曜日
","

[月～金]11:30～13:3017:30～22:00[土・祝]17:00～22:00(前々日までの予約制)
",https://tabelog.com/tokyo/A1313/A131303/13100328/,門前仲町駅
23,"

ジンギスカン霧島 浅草店

","
焼肉、ジンギスカン、火鍋
","
東京都台東区浅草1-43-9 レクス浅草 3F






","

03-3842-6655

","￥3,000","￥3,999","
月曜定休◆1月9日は通常営業、翌1月10日は休業日となります。
","

【平日】ランチ11:30～15:00(LO.14:30)【平日】ディナー17:00～22:00(LO.21:15)【土日祝】ランチ11:30～15:00(LO.15:00)【土日祝】ディナー15:00～22:00(LO.21:15)
日曜営業
",https://tabelog.com/tokyo/A1311/A131102/13184096/,浅草駅（つくばＥＸＰ）
24,"

室町ワイン倶楽部（【旧店名】GABU）
            
","
イタリアン、ワインバー、バル
","
東京都中央区日本橋本町3-2-14 山一大野ビル 1F






","

050-5869-2698

","￥3,000","￥3,999","
日曜日・祝日
","

【月～金】17:00～23:30（L.O.22:30、ドリンクL.O.23:00）【土】17:00～22:00（L.O.21:00、ドリンクL.O.21:30）
",https://tabelog.com/tokyo/A1302/A130202/13094322/,新日本橋駅
25,"

築地アン・スリール

","
ビストロ、洋食、居酒屋
","
東京都中央区築地6-8-10 スカール築地 1F






","

050-5571-4379

","￥4,000","￥4,999","
月曜
","

【平日】ランチ 11:30～14:00　ディナー 17:30～23:30（L.O.22:30）【土日】ディナー 17:30～23:30（L.O.22:30）
日曜営業
",https://tabelog.com/tokyo/A1313/A131301/13147229/,築地駅
26,"

居酒屋 よっちゃん

","
居酒屋、ピザ
","
東京都葛飾区新小岩1-35-5 本田ビル 1F






","

050-5590-4430

","￥3,000","￥3,999","
木曜日
","

17:00〜翌02:00
日曜営業
",https://tabelog.com/tokyo/A1312/A131204/13269303/,新小岩駅
27,"

南国亭 浜松町大門店

","
居酒屋、中華料理、火鍋
","
東京都港区芝大門2-3-6 大門アーバニスト B1F






","

050-5590-1265

","￥3,000","￥3,999","
無休
","

11：00～15：0017：00～23：00(L.O.22：30）
日曜営業
",https://tabelog.com/tokyo/A1314/A131401/13153114/,大門駅
28,"

串遊海鮮 かいり

","
居酒屋、鍋、海鮮
","
東京都渋谷区恵比寿西1-13-5 ブラッサム大六天ビル102






","

050-5868-6673

","￥6,000","￥7,999","
","

［月～金]17:00～24:00 (L.O23:00)　[土]15:00〜24:00(L.O23:00)［日.祝］15:00〜23:00(22:00)
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13128327/,恵比寿駅
29,"

九州名物とめ手羽 豊洲店

","
居酒屋、手羽先、馬肉料理
","
東京都江東区豊洲5-6-36 豊洲プライムスクエア 2F






","

050-5571-5519

","￥3,000","￥3,999","
日曜日
","

ランチ　[平日] 11：30 ～ 14：00 （L.O. 13：30）ディナー[月～金] 17：00 ～ 23：00 （L.O. 22：00）[土祝] 　　17：00 ～ 22：00 （L.O. 21：00）
",https://tabelog.com/tokyo/A1313/A131307/13118176/,豊洲駅
30,"

ビアハウス 森卯（BEER HOUSE もりう）
            
","
ビアホール、居酒屋、バル
","
東京都千代田区丸の内1-9-1 東京駅一番街 2F 東京グルメゾン内 






","

050-5595-9350

","￥3,000","￥3,999","
なし
","

※お客様への大切なお知らせ営業にあたっては、引き続き、手指消毒やマスクの着用、間隔の確保・空調機や窓開けによる換気など、基本的な感染対策を行います。
日曜営業
",https://tabelog.com/tokyo/A1302/A130201/13223529/,東京駅
31,"

ロベリスク。

","
焼き鳥、肉料理、フレンチ
","
東京都港区西麻布1-1-1 EDGEビル 1F






","

050-5570-8816

","￥10,000","￥14,999","
日曜、第2第4月曜
","

ランチ　水、土のみ12:00〜15:00（最終入店14:00 Lo.14:30）※前日22:00までの完全予約制となります。ディナー　17:30～23:00(最終入店21:00 Lo.22:00)ランチは10名様以上でのご利用に限り、曜日関係なく応相談にてご予約承ります。
",https://tabelog.com/tokyo/A1307/A130701/13263814/,六本木駅
32,"

神楽坂 鴨匠（かぐらざかカモショウ【旧店名】神楽坂 SHUN 本家）
            
","
鳥料理、日本料理
","
東京都新宿区神楽坂3-2-36 エル・ヴィ・アネックス　１Ｆ






","

050-5890-8309

","￥8,000","￥9,999","
日曜日
","

[月～土・祝]ランチ　　11:30～14:00（L.O.13:30）ディナー　17:30～23:00（ドリンクL.O.22:30）※最終入店20:30※ディナーはコース料理のみの承りとなっております。※営業中忙しい時間帯は電話に出れない場合がございます。ご理解の程、宜しくお願い致します。
",https://tabelog.com/tokyo/A1309/A130905/13000450/,飯田橋駅
33,"

幸せのパンケーキ 渋谷店

","
パンケーキ、カフェ、ケーキ
","
東京都渋谷区道玄坂1-18-8 道玄坂プラザ仁科屋ビル 3F






","

03-3462-6666

","￥1,000","￥1,999","
不定休
","

平日11:00～20:00(LO19:15)土日祝10:00～20:30(LO19:40)お食事系パンケーキのご提供は14:30迄となります。
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13195787/,神泉駅
34,"

創作イタリアン肉バル スオーノ（SUONO）
            
","
イタリアン、ステーキ、パスタ
","
東京都墨田区緑1-28-11 イトーピア両国ステーションコート 1F






","

050-5589-2155

","￥3,000","￥3,999","
日曜日　祝日
","

平日11:30～14:30（L.O.14:00）／17:30～22:30（L.O.22:00）土曜日　ランチお休み/17:30～22:30（L.O.22:00）追記コロナ禍の場合はに変更が御座います。
",https://tabelog.com/tokyo/A1312/A131201/13240845/,両国駅
35,"

アルジェント（【旧店名】アルジェントASAMI ）
            
","



フレンチ 百名店 2021 選出店




食べログ フレンチ TOKYO 百名店 2021 選出店



","
予約可
※ひらまつの提供する各種優待割引サービス、ポイント利用および付与をご利用の際は、公式HPよりご予約ください。（2ヶ月前よりオンライン予約が可能です）※食材アレルギーをお持ちの方はご予約時にお申し出・ご相談ください。
","
フレンチ、イノベーティブ
",,,,"
JR山手線　有楽町駅中央口　徒歩5分東京メトロ日比谷線　銀座駅　C8.B4出口　徒歩5分
銀座一丁目駅から155m
",https://tabelog.com/tokyo/A1301/A130101/13016560/,銀座一丁目駅
36,"

フォルチェ（ｆａｉｌｔｅ）
            
","
ビアバー、パブ、居酒屋
","
東京都渋谷区道玄坂1-5-2 渋谷SEDEビル　5F






","

050-5868-2467

","￥4,000","￥4,999","
不定休（ビルの休みに準ずる）
","

[月～金]17:00～24:00(FOOD L.O.23:00)(DRINK L.O.23:30)　[土日祝]15:00～23:00(FOOD L.O.22:00)(DRINK L.O.22:30)　
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13047072/,渋谷駅
37,"

焼鳥 鈴音

","
焼き鳥、中華料理、創作料理
","
東京都港区六本木7-15-25 六本木セヴンスビル 2






","

050-5596-8367

","￥8,000","￥9,999","
日曜　
","

ディナー 17:00～23:00（L.O.22:00）
",https://tabelog.com/tokyo/A1307/A130701/13229635/,六本木駅
38,"

佐々木

","
日本料理、海鮮、かに
","
東京都中央区銀座8-4-2 たくみビル 6F






","

050-5593-6118

","￥15,000","￥19,999","
土・日・祝日
","

18:00～23:30
",https://tabelog.com/tokyo/A1301/A130103/13185784/,新橋駅
39,"

四十八漁場 九段下

","
海鮮、寿司、天ぷら
","
東京都千代田区神田神保町3-4-10 柳川ビル 1F






","

050-5592-8011

","￥3,000","￥3,999","
土日祝：諸般の事情により、予告なく休業させて頂くことがございます。予めご了承くださいませ。営業日については直接店舗へお問い合わせください。
","

【ランチ】11:30〜14:00（LO.13:30）【ディナー】17:00〜23:00（LO.22:00）予告なくの短縮させて頂くことがございます。予めご了承くださいませ。
",https://tabelog.com/tokyo/A1310/A131003/13200931/,九段下駅
40,"

味の譚

","
中華料理、居酒屋、餃子
","
東京都渋谷区渋谷1-24-7 渋谷宮下パークビル 1F






","

050-5456-0604

","￥3,000","￥3,999","
無休
","

[Lunch]11:00～15:00[Dinner]17:00～23:30
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13238781/,渋谷駅
41,"

ai’s

","
イタリアン、パスタ、ワインバー
","
東京都渋谷区広尾1-1-38 スクエアサイドビル 1F






","

050-5872-6246

","￥10,000","￥14,999","の日曜日以外に月曜日がお休みの場合、翌日火曜日のランチは営業しておりません。『ディナー』月曜日～土曜日・祝日17時～22時（ラストオーダー21時）
","

『ランチ』火曜日～土曜日11時30分～15時（ラストオーダー14時）※月曜日のランチは営業しておりません。また、店舗都合で",https://tabelog.com/tokyo/A1303/A130302/13256138/,恵比寿駅
42,"

クラフトビアバル IBREW 恵比寿駅前店

","
ダイニングバー、ビアバー、バル
","
東京都渋谷区恵比寿南1-8-1 STM恵比寿ビル B2F






","

050-5597-8505

","￥3,000","￥3,999","
なし
","

[月～金]13:00～23:00 LO(フード22:00 L.O/ドリンク22:30L.O)[土・日・祝]13:00～23:00 LO(フード22:00 L.O/ドリンク22:30L.O)
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13236001/,恵比寿駅
43,"

個室肉バル 肉寿司食べ放題 ミートキング 新宿東口店（【旧店名】シュラスコ&ラクレットダイニング ラ・ボーネ）
            
","
居酒屋、イタリアン、焼肉
","
東京都新宿区歌舞伎町1-6-14 第2ショーリビル 4F






","

070-7521-7485

","￥2,000","￥2,999","
毎日営業中◎ 当日予約OK！
","

【月～日】11:00～24:00
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13182701/,新宿三丁目駅
44,"

鮨 水天一碧

","
寿司、日本料理、日本酒バー
","
東京都中央区銀座6-3-8 オスカーKBビル 1F






","

050-5589-5677

","￥15,000","￥19,999","
水曜日・日曜日(月曜祝日は営業日)
","

[月、火、木、金，土］17:30〜22:30最終入店20:30
",https://tabelog.com/tokyo/A1301/A130101/13270716/,銀座駅
45,"

新宿ホルモン焼き だるま

","
ホルモン、焼肉、居酒屋
","
東京都渋谷区代々木2-20-19 新宿東洋ビル 1F






","

050-5872-6936

","￥2,000","￥2,999","
年中無休
","

月〜金　17時～24時(Lo30分前)土　15時～24時(Lo30分前)日　15時～24時(Lo30分前)
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13256118/,南新宿駅
46,"

マーサー カフェ ダンロ（MERCER CAFE DANRO）
            
","
カフェ、イタリアン、ビストロ
","
東京都渋谷区恵比寿南1-16-12 ABCMAMIES 2F






","

050-5868-7630

","￥5,000","￥5,999","
なし
","

【日曜〜木曜】　DINNER 17:00~23:00(L.O21:30)【土日・祝日】　LUNCH 11:00~17:00(L.O16:00)【金土・祝前日】　DINNER  17:00~23:00(L.O22:00)※金曜日はディナーのみの営業となります。
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13117738/,恵比寿駅
47,"

純伝統四川家庭料理 芊品香別館

","
四川料理、汁なし担々麺、餃子
","
東京都千代田区富士見1-7-6 






","

050-5593-9877

","￥3,000","￥3,999","
","

平日11:30～15:30（L.O.15:00）17:30～23:30（L.O.22:30）　土日祝11:30　閉店（21:30 L.O）年末年始のお休み12月31日から1月3日までお休みさせていただきます
日曜営業
",https://tabelog.com/tokyo/A1309/A130905/13209176/,飯田橋駅
48,"

Le Beurre Noisette TOKYO（ル ブール ノワゼット）
            
","
フレンチ、ビストロ、ワインバー
","
東京都千代田区丸の内3-2-3 二重橋スクエア 1F






","

050-5596-5187

","￥8,000","￥9,999","
不定休
","

▼通常＜バル＞［ランチ］11：00 ～ 15：00（L.O.14：30）　　　　　※土日祝はL.O.15:00［カフェ］15：00 ～ 17：00（L.O.17：00）※土日祝のみ［ディナー］17：00 ～ 23：00（L.O.22：00）＜レストラン＞［ランチ］11：00 ～ 15：00（L.O.14：00）［ディナー］17：00 ～ 23：00（L.O.22：00）
日曜営業
",https://tabelog.com/tokyo/A1301/A130102/13226770/,二重橋前駅
49,"

焼肉酒場よんちゃん

","
焼肉、韓国料理、居酒屋
","
東京都練馬区豊玉北5-15-10 1F






","

050-5593-6115

","￥4,000","￥4,999","
無休
","

[月～木・日]17:00～翌03:30(L.O)[金・土]17:00～翌04:30(L.O)
日曜営業
",https://tabelog.com/tokyo/A1321/A132102/13177272/,練馬駅
50,"

赤羽スペインバルCirco（シルコ）
            
","
スペイン料理、イタリアン
","
東京都北区赤羽1-29-6 山田ビル 101






","

050-5594-5634

","￥3,000","￥3,999","の月曜日でも貸し切りや大人数様のご予約は承ります！お電話にてお気軽にご相談くださいませ。※混雑状況によりお時間制（２時間）を取る場合がございます。
日曜営業
","

【月～土】ランチ　11:30～14:30（L.O.14:00）ディナー　17:00～23:00【日】ランチ　11:30～14:30（L.O.14:00）ディナー　17:00～23:00 ※",https://tabelog.com/tokyo/A1323/A132305/13179411/,赤羽岩淵駅
51,"

酒蔵レストラン宝 東京国際フォーラム店

","
居酒屋、日本酒バー、海鮮
","
東京都千代田区丸の内3-5-1 東京国際フォーラム B1F






","

050-5868-0370

","￥6,000","￥7,999","
年末年始　12/31～1/5
","

[月～金]11:30～14:30(L.O.14:00)17:00～22:00(L.O.F21:00 D21:30)[土・祝]11:30～15:30(L.O.15:00)17:00～22:00(L.O.F21:00 D21:30)
",https://tabelog.com/tokyo/A1301/A130102/13004073/,有楽町駅
52,"

LUXURY KARAOKE＆BAR PALACE 渋谷

","
ダイニングバー、バー、カフェ
","
東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビル 4F






","

050-5890-3415

","￥4,000","￥4,999","
無休
","

【日～木】18:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）【金土日、祝日、祝前日】17:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13256094/,渋谷駅
53,"

焼肉ことえん

","
焼肉、冷麺、ホルモン
","
東京都荒川区西日暮里5-24-2 KIビル 1F






","

050-5868-4862

","￥4,000","￥4,999","
無休
","

［月～土］17：00～26：00（L.O.25：30）［日・祝］16：00～24：00（L.O.23：30）
日曜営業
",https://tabelog.com/tokyo/A1311/A131105/13168702/,西日暮里駅
54,"

正々堂々

","
居酒屋、ダイニングバー、海鮮
","
東京都新宿区新宿3-9-7 T＆T2ビル1　２F






","

050-5890-4778

","￥4,000","￥4,999","
月曜日
","

日〜月　17:00〜23：00金・土・祝前　17:00〜23：00※ネット予約が満席の場合でも、電話にて予約受け付けております。気軽にお電話ください。
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13125421/,新宿三丁目駅
55,"

串もんDiningくしべえ（【旧店名】炉端ぐりる 串べえず 町田店）
            
","
焼き鳥、居酒屋、バル
","
東京都町田市原町田4-4-5 平野屋第３ビル　Ｂ１Ｆ






","

050-5596-2222

","￥3,000","￥3,999","
無休　信州安曇野から毎朝届く新鮮な地鶏「朝一鶏」を使用した焼鳥と 備長炭で焼く絶品串焼きは120円からご用意!! ＜自慢の3大名物＞は必食の価値あり!! 創作カクテルやオーガニックワインは女性のお客様から大好評
","

全日 16:00～23:30(L.O.22:30)
日曜営業
",https://tabelog.com/tokyo/A1327/A132701/13028831/,町田駅
56,"

サケリア バンコ（Sakeria BANCO）
            
","
居酒屋、イタリアン、日本酒バー
","
東京都千代田区内神田3-2-10 トーセイホテル ココネ神田 1F






","

050-5589-9862

","￥4,000","￥4,999","
不定休
","

【月～金】16:00～25:00【土、日】15:00～24:00
日曜営業
",https://tabelog.com/tokyo/A1310/A131002/13275331/,神田駅
57,"

アクトスカイガーデン六本木（ACT SKY GARDEN ROPPONGI）
            
","
バーベキュー、ビアガーデン
","
東京都港区六本木7-17-15 アクトホテル六本木 屋上






","

050-5589-7960

","￥4,000","￥4,999","
なし
","

事前予約制となりますので、ご来店の際は電話での確認をお願い致します。[平日]ランチタイム 11:00～16:00 ビアガーデン 16:00～24:00[土日祝]ランチタイム 11:00～14:00 ビアガーデン 14:00～24:00
日曜営業
",https://tabelog.com/tokyo/A1307/A130701/13275616/,六本木駅
58,"

全席個室居酒屋 国産和牛肉寿司と海鮮 とろけ酒場 赤羽店（【旧店名】全席個室居酒屋 海鮮と肉寿司と地鶏料理 鳴海屋）
            
","
居酒屋、海鮮、鳥料理
","
東京都北区赤羽南1-8-5 TSビル 3F






","

050-5595-1442

","￥2,000","￥2,999","
無休
","

月～日、祝日、祝前日: 11:00～24:00(フードL.O23:00.ドリンクL.O23:30)■入店時の検温.アルコール消毒のご協力お願い致します。■感染対策万全で通常営業しております。
日曜営業
",https://tabelog.com/tokyo/A1323/A132305/13218463/,赤羽駅
59,"

スタンド新橋（Stand Shimbashi）
            
","
居酒屋、日本料理、バル
","
東京都港区新橋2-13-4 佐藤ビル 1F






","

050-5600-0821

","￥2,000","￥2,999","
日曜/祝日 
","

17:00〜23:00（ラストオーダー）22:30※ご予約は16:00から対応
",https://tabelog.com/tokyo/A1301/A130103/13279350/,新橋駅
60,"

フォルクス 豊洲店（VOLKS）
            
","
ファミレス、ステーキ、ハンバーグ
","
東京都江東区豊洲3-3-3 あいプラザ1F






","

050-5589-9422

","￥2,000","￥2,999","
年中無休
","

10：00-24：00(ﾗｽﾄｵｰﾀﾞｰ23：30)
日曜営業
",https://tabelog.com/tokyo/A1313/A131307/13041834/,豊洲駅
61,"

THE SMILE ルミネエスト新宿店（ザ スマイル）
            
","
カフェ、パンケーキ、ハンバーガー
","
東京都新宿区新宿3-38-1 ルミネエスト新宿店 7F






","

050-5593-8427

","￥1,000","￥1,999","
不定休(ルミネエスト新宿に準ずる)
","

［月〜金・土・日・祝日］  11:00～21:00 (L.O. 20:15)※その他‥ルミネエスト営業に準ずる
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13155314/,新宿駅
62,"

鮨まつい

","
寿司
","
東京都港区赤坂3-13-6 国際天野ビル 7F






","

050-5457-0456

","￥15,000","￥19,999","
日曜日
","

平日；17時-23時土曜日・祝日；ランチ　12-14:30時　　ディナー　17-23時
",https://tabelog.com/tokyo/A1308/A130801/13249002/,赤坂駅
63,"

木村屋本店桜丘町

","
居酒屋、もつ鍋、しゃぶしゃぶ
","
東京都渋谷区桜丘町30-15 ビバリーヒルズ 1F






","

050-5890-2065

","￥3,000","￥3,999","
年末年始、ゴールデンウィーク、お盆
","

月～金ランチ　11:30～14:30（L.O.14:00） ディナー　17:00～2３:00（フードL.O.22:00、ドリンクL.O.22:30　）日、祝日は22時閉店になります。お時間の長いコースを御選択頂いても、閉店、ラストオーダーの時間は変わりませんので、あらかじめ御了承ください。　予約は1か月単位で可能です☆
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13165059/,渋谷駅
